,Cities,Max Temp,Lat,Lng,Humidity,Wind Speed,Cloudiness,Country
417,portland,71.01,45.52,-122.68,45,4.7,40,US
418,lafia,83.39,8.48,8.52,68,3.74,4,NG
419,seoul,68.0,37.57,126.98,93,2.24,90,KR
420,banjarmasin,75.81,-3.32,114.59,96,4.12,100,ID
421,hardenberg,51.01,52.58,6.62,85,6.98,41,NL
422,manta,82.4,-0.95,-80.73,69,17.22,20,EC
423,tucuman,73.4,-26.82,-65.22,56,2.24,0,AR
424,zheleznodorozhnyy,51.01,55.75,38.0,66,4.47,61,RU
425,rosario do sul,59.72,-30.26,-54.91,74,1.7,0,BR
426,santo antonio do ica,76.55,-3.1,-67.94,95,1.21,95,BR
427,laela,52.92,-8.57,32.05,89,3.11,0,TZ
428,kendallville,57.2,41.44,-85.27,100,10.29,90,US
429,kathu,77.0,7.92,98.33,100,12.06,40,TH
430,los llanos de aridane,68.0,28.66,-17.92,68,13.87,90,ES
431,vanimo,83.41,-2.67,141.3,76,7.58,24,PG
432,partur,90.27,19.6,76.22,24,9.66,94,IN
433,jieshou,63.0,33.26,115.36,42,12.28,0,CN
434,los algarrobos,80.6,8.5,-82.43,78,10.29,75,PA
435,singapore,82.0,1.29,103.85,94,2.24,75,SG
436,tharad,80.56,24.4,71.63,74,11.05,0,IN
437,port hedland,62.6,-20.32,118.57,33,6.93,92,AU
438,tabat,75.61,-2.63,115.23,98,0.18,100,ID
439,avera,86.0,33.19,-82.53,45,4.7,1,US
440,talara,70.21,-4.58,-81.27,83,16.2,9,PE
441,sao geraldo do araguaia,76.03,-6.4,-48.55,90,2.3,18,BR
